100,1000,0.908353,0.906236,0.913703,0.917063,0.919697,0.922113,0.928308,11.86279
4,670,0.326667,0.45,0.436667,0.43,0.45,0.46,0.64,14.108071
31,893,0.986877,0.987876,0.987187,0.987217,0.987664,0.98766,0.958375,15.302478
5,1000,0.705234,0.774105,0.749311,0.749311,0.768595,0.790634,0.953168,11.908145
100,689,0.840539,0.849162,0.810395,0.801769,0.802063,0.803806,0.880167,11.198825
7,212,0.806869,0.777027,0.794482,0.795608,0.797297,0.780405,0.78491,23.305735
100,395,0.999221,0.999173,0.999033,0.998967,0.999271,0.999428,0.997907,17.926196
100,40,0.977545,0.981531,0.984495,0.984512,0.987254,0.987826,0.927997,20.034691
100,136,0.953705,0.95596,0.956597,0.956705,0.956866,0.956154,0.714997,18.369148
100,116,0.973359,0.962998,0.964006,0.963879,0.973968,0.972838,0.836291,18.577171
89,728,0.810342,0.80857,0.805598,0.806215,0.808135,0.817145,0.733755,16.33365
100,138,0.876286,0.879041,0.872757,0.871662,0.872378,0.872285,0.802782,21.486348
100,184,0.957624,0.960378,0.960846,0.960911,0.961087,0.959193,0.924059,20.985917
63,793,0.899843,0.891742,0.882756,0.8821,0.881789,0.880772,0.693756,18.375416
