100.000000,155.000000,0.946183,0.943240,0.943649,0.935910,0.933849,0.920115,0.929207,1.148971
4.000000,420.000000,0.583333,0.553333,0.583333,0.583333,0.590000,0.593333,0.633333,2.266638
31.000000,260.000000,0.992795,0.992878,0.992394,0.992477,0.992492,0.992682,0.958360,3.972220
5.000000,480.000000,0.997245,0.994490,1.000000,1.000000,1.000000,1.000000,0.958678,2.307230
100.000000,305.000000,0.884655,0.897371,0.888469,0.884256,0.882763,0.880722,0.883371,0.455755
7.000000,285.000000,0.815315,0.814752,0.812500,0.813063,0.811937,0.817005,0.786036,6.781243
100.000000,360.000000,0.994561,0.999097,0.999177,0.999198,0.999431,0.999624,0.997865,2.176316
100.000000,65.000000,0.833023,0.950609,0.976411,0.967948,0.977550,0.976430,0.927451,1.305537
100.000000,260.000000,0.766977,0.536061,0.742676,0.621077,0.695144,0.680893,0.725812,1.355880
100.000000,170.000000,0.904332,0.734225,0.914264,0.902611,0.949100,0.884372,0.515519,1.421145
89.000000,355.000000,0.815940,0.831191,0.818996,0.819243,0.821445,0.824052,0.733913,0.456526
100.000000,190.000000,0.865222,0.877916,0.860002,0.845265,0.857661,0.856275,0.800546,1.608522
100.000000,270.000000,0.946051,0.948730,0.947127,0.947289,0.947179,0.937369,0.923651,1.806844
63.000000,1000.000000,0.939230,0.939755,0.939820,0.940279,0.940214,0.939853,0.689722,0.691426
